Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
940,0.0285593,0.0253598,0.0236415,0.0314723,0.0328923,0.00308598,0.0333969,0.0737728,0.0454497,0.0197149,0.00645943,0.0365971,0.0458717,0.00947421,0.0108078,0.021199,0.0457034,0.0235591,0.0374431,0.00631079,0.020887,0.0261659,0.0288941,0.0349616,0.0215819,0.0336428,0.0221835,0.0131242,0.0420174,0.017088,0.0222068,0.0223799,0.0323504,0.0240799,0.0252585,0.0249468,0.0221678,0.0344548,0.0234618
941,0.0289687,0.0256971,0.0240085,0.032061,0.0330892,0.00280317,0.032489,0.0730602,0.0458897,0.0200462,0.00576232,0.0374649,0.0459233,0.0117366,0.00968158,0.020917,0.0460707,0.0231093,0.0376117,0.0061468,0.0211071,0.0264252,0.0285973,0.0349914,0.0211364,0.033627,0.0220684,0.0118295,0.041185,0.0172046,0.0201759,0.022182,0.0318891,0.0239171,0.0249652,0.0246556,0.0214378,0.0329328,0.0237237
942,0.0294765,0.0259317,0.024466,0.0327534,0.0332522,0.00284949,0.031436,0.0724687,0.0462571,0.0205381,0.00596902,0.0382145,0.0459992,0.0118852,0.00901651,0.0206655,0.0463196,0.0226972,0.0377385,0.00574016,0.0213536,0.0267608,0.0281809,0.0350616,0.0206046,0.0335732,0.0218593,0.0101176,0.0400106,0.0172111,0.0180035,0.0218677,0.0308949,0.0236769,0.0246221,0.0242725,0.0207861,0.031503,0.0239434
943,0.0300227,0.026129,0.0249554,0.0334329,0.0334111,0.00310904,0.0302764,0.0719287,0.0465845,0.0208822,0.00675787,0.038403,0.046042,0.0103007,0.00903956,0.020695,0.0463142,0.0226852,0.0377963,0.00543363,0.0215955,0.0272048,0.0278517,0.0351858,0.0200401,0.0335307,0.0216903,0.0083848,0.0386661,0.0171895,0.0158212,0.0213625,0.0289828,0.0233704,0.0242244,0.0238313,0.0203325,0.030277,0.0241003
944,0.0305475,0.0263678,0.0252244,0.0340332,0.0336126,0.00342731,0.0290682,0.0713482,0.046849,0.0209471,0.00772919,0.0376654,0.0460002,0.00840035,0.00956552,0.0206734,0.0463211,0.0225252,0.0377922,0.00567752,0.0219289,0.0277778,0.0274752,0.0353794,0.0194436,0.0335106,0.0213687,0.00700127,0.0372103,0.0172182,0.0139291,0.0203994,0.0250102,0.0230076,0.0237893,0.0233247,0.0201222,0.02929,0.0242397
945,0.031004,0.0267206,0.0253343,0.0344915,0.033864,0.00374145,0.0279182,0.0706672,0.0470258,0.0207835,0.00861581,0.0363788,0.0459176,0.00738207,0.010211,0.0205394,0.0459814,0.0222052,0.0378095,0.00656867,0.0224029,0.028455,0.027073,0.0356742,0.0188248,0.0334803,0.0205333,0.00624214,0.0357519,0.0172835,0.0124088,0.0188538,0.0202432,0.0226536,0.0233466,0.0228034,0.0201562,0.0285586,0.0245098
946,0.0313449,0.0271554,0.0253384,0.0347387,0.0341348,0.00407489,0.0268532,0.0698988,0.0471373,0.0205056,0.00932305,0.035981,0.0458359,0.00751361,0.010869,0.0204469,0.0454378,0.0223416,0.0377576,0.00749043,0.0230212,0.0291757,0.0266741,0.0360724,0.0182479,0.0335052,0.019172,0.00610933,0.0345732,0.0174098,0.0111984,0.0170745,0.019791,0.0223751,0.0229216,0.0223111,0.0203918,0.0281598,0.0250089
947,0.0315657,0.0275483,0.0253215,0.0346958,0.0344422,0.00445261,0.0259329,0.0691036,0.0471718,0.0205252,0.00989859,0.0361319,0.0457186,0.00803451,0.0115724,0.020388,0.0447075,0.0226692,0.0376055,0.00800663,0.023519,0.0299098,0.0262749,0.036504,0.0177698,0.0336554,0.0189929,0.00650258,0.0339235,0.0175923,0.0102388,0.0156807,0.0231217,0.0221629,0.0225572,0.0219326,0.020805,0.0282108,0.0257031
948,0.0317144,0.0278315,0.0252705,0.0343464,0.034724,0.00484091,0.0251928,0.0682747,0.0471319,0.0204482,0.010326,0.0354999,0.0454617,0.00845331,0.012164,0.0203281,0.0438439,0.0236684,0.0374553,0.00889971,0.0239228,0.0306197,0.0258553,0.0370986,0.0174763,0.0338766,0.0206226,0.00725882,0.0337806,0.0178643,0.00949957,0.0150146,0.0259607,0.0220247,0.0224317,0.0216999,0.0213368,0.0286303,0.0263783
949,0.0318549,0.0281917,0.0250689,0.0337967,0.0349332,0.00524852,0.0246615,0.0673842,0.0470759,0.0202799,0.0106081,0.0345894,0.0449986,0.00886504,0.0125634,0.0202717,0.0429691,0.0245471,0.0373496,0.0106992,0.0241744,0.0313093,0.0254083,0.0377936,0.0174869,0.0341492,0.0232558,0.00818956,0.0342377,0.0182267,0.00893247,0.015034,0.0274727,0.0218908,0.0225854,0.0217483,0.0219358,0.0291911,0.0270532
950,0.0319404,0.0285919,0.024896,0.0331799,0.0350693,0.00571547,0.0242978,0.0664095,0.0470414,0.0200379,0.0107949,0.0345108,0.0447389,0.00928445,0.012752,0.0202456,0.0422091,0.0251747,0.03718,0.012789,0.0242058,0.0319333,0.0248982,0.0385596,0.0178792,0.0345196,0.0261708,0.00902616,0.0349414,0.018715,0.00849845,0.0156061,0.0283578,0.0217005,0.0229457,0.0220753,0.022638,0.0296058,0.0274808
951,0.0320365,0.0289911,0.0246939,0.0325714,0.0351437,0.0063311,0.0241116,0.0653654,0.0470517,0.0196552,0.0108407,0.0355259,0.0446537,0.00962476,0.0127539,0.0202711,0.0414803,0.0260304,0.0368941,0.0145263,0.0244113,0.0325474,0.0243167,0.0393957,0.018637,0.0349786,0.0288071,0.0097572,0.0354932,0.0193897,0.00811146,0.0167577,0.0291576,0.0214209,0.0234328,0.0226277,0.0235928,0.0297147,0.0274512
952,0.0320987,0.029388,0.0244453,0.031972,0.0351452,0.00711118,0.0240943,0.0642862,0.0470071,0.0192368,0.0108763,0.0372159,0.0446242,0.0100374,0.0126506,0.0203389,0.041012,0.0271882,0.036573,0.0158312,0.0248361,0.0331333,0.0237182,0.0402853,0.0196428,0.0355054,0.0309194,0.0104169,0.0358617,0.0201707,0.00765443,0.0183367,0.0299433,0.0210656,0.024049,0.0233314,0.0248479,0.029507,0.0281689
953,0.0321546,0.0297549,0.0242125,0.031367,0.0350531,0.00808661,0.0242177,0.063147,0.0468457,0.0192034,0.010807,0.0366507,0.0445974,0.0104605,0.0125217,0.0204679,0.0408817,0.028567,0.0363332,0.0167758,0.0253695,0.0336283,0.023146,0.0412181,0.0209037,0.0360488,0.0325065,0.0109971,0.0361391,0.0208683,0.00723079,0.0199436,0.0310741,0.0206893,0.0249195,0.0240995,0.0260045,0.0290452,0.0289852
