Timestep,C7,CLAV,LANK,LASI,LBHD,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTIB,LTOE,LUPA,LWRA,LWRB,RANK,RBAK,RBHD,RELB,RFHD,RFIN,RFRM,RHEE,RKNE,RPSI,RSHO,RTHI,RTIB,RTOE,RUPA,RWRA,RWRB,STRN,T10,RASI
660,0.0298858,0.0316869,0.0308579,0.0336011,0.0243147,0.0203451,0.0344749,0.0394459,0.0494169,0.0340804,0.0151325,0.0374683,0.037927,0.0164633,0.0256279,0.033073,0.050314,0.0254562,0.0307796,0.0131413,0.0297148,0.0188637,0.0174705,0.0221309,0.0452821,0.0319343,0.0132931,0.0121275,0.0296924,0.019158,0.00916195,0.0234842,0.0122808,0.0197628,0.0299819,0.0288423,0.0315778,0.0255464,0.0189593
661,0.0298217,0.0315008,0.0310606,0.0336356,0.0245939,0.0200296,0.035273,0.040299,0.0492847,0.0342828,0.0157305,0.0375187,0.0379948,0.0171499,0.0259027,0.0346011,0.0501531,0.0237994,0.031334,0.0130169,0.029849,0.0187602,0.0176457,0.0225964,0.0445871,0.0319992,0.0129413,0.0119677,0.0299611,0.0191526,0.00878158,0.0231615,0.0122673,0.0198847,0.0301376,0.0288913,0.0321775,0.0257985,0.0185515
662,0.0296869,0.0313004,0.0311889,0.0339648,0.0248288,0.0198285,0.035998,0.0412893,0.0492743,0.0343656,0.016262,0.037591,0.0380181,0.017692,0.026247,0.0358214,0.0500266,0.0225288,0.031646,0.0129522,0.029904,0.0186805,0.0179711,0.0230353,0.0439168,0.0320909,0.0126172,0.0118893,0.0302666,0.0191731,0.00863569,0.0228911,0.0122272,0.02009,0.0302077,0.0289249,0.0328287,0.0259642,0.0187148
663,0.0295454,0.0310413,0.0312095,0.0343294,0.0250053,0.0196647,0.0366128,0.04218,0.0493779,0.0342796,0.0167181,0.0376372,0.0380294,0.0181002,0.026699,0.0366336,0.0500084,0.0218079,0.0317565,0.0128026,0.029851,0.0186214,0.0183942,0.0233995,0.0432887,0.0321616,0.012631,0.0119463,0.0305187,0.0191616,0.00865874,0.0227858,0.012256,0.0203953,0.030258,0.0289424,0.0334892,0.0260701,0.0189921
664,0.0294186,0.0307219,0.0313666,0.0345938,0.0251306,0.0194765,0.0371003,0.0429616,0.0494781,0.0340606,0.0170638,0.0376762,0.0380281,0.0183998,0.0272523,0.0369581,0.0500564,0.0212633,0.0317925,0.0126156,0.0296881,0.0185662,0.018974,0.0236949,0.0426899,0.0322348,0.0128202,0.0122134,0.0307031,0.0190817,0.00883962,0.022903,0.0122797,0.0207719,0.0302912,0.0289154,0.0340279,0.0261216,0.0193258
665,0.0293113,0.0303523,0.0316719,0.0348108,0.0252128,0.019339,0.0374663,0.0436019,0.049522,0.0339142,0.0172805,0.0376426,0.038056,0.0187135,0.0274572,0.036891,0.0501375,0.0208132,0.0318169,0.0124556,0.0294425,0.0185422,0.0194706,0.0238737,0.0420964,0.0324098,0.0127202,0.012448,0.0309683,0.018963,0.00910676,0.0232578,0.0123051,0.0211948,0.0302955,0.0287513,0.0343739,0.0261081,0.0191421
666,0.0292056,0.0299794,0.0318194,0.0350061,0.0252525,0.0192569,0.0376978,0.0440389,0.0495216,0.0337289,0.0173302,0.037504,0.0381453,0.0190997,0.0275344,0.0366429,0.0502615,0.0204486,0.0317516,0.0123548,0.0291081,0.0185558,0.0199389,0.0240142,0.0414946,0.032648,0.012504,0.0126516,0.0313403,0.0187892,0.00942678,0.023745,0.0123254,0.0216141,0.0302274,0.0284438,0.0344593,0.0260489,0.0192422
667,0.029095,0.0296465,0.0317547,0.0352096,0.0252252,0.0192481,0.0377908,0.0443296,0.0495483,0.033412,0.0172673,0.0373505,0.0383308,0.0194975,0.0275403,0.0359757,0.050452,0.0201517,0.0315677,0.0123592,0.0287786,0.0186138,0.0204174,0.0241065,0.0408495,0.0328846,0.0127902,0.0128453,0.031602,0.0184927,0.00976654,0.0242096,0.0123579,0.0220549,0.0299741,0.0281945,0.0342641,0.0259934,0.0194699
668,0.0289649,0.0293681,0.0314756,0.0354201,0.0251569,0.0191924,0.0377494,0.0445427,0.049674,0.0328655,0.0170606,0.0372439,0.0385707,0.0199387,0.027455,0.035232,0.0506791,0.0199004,0.0313196,0.0123438,0.028482,0.0186966,0.0209424,0.0240558,0.0401433,0.0330857,0.0127199,0.0129656,0.0315679,0.0180677,0.0101415,0.0245444,0.0124002,0.0225023,0.0296943,0.0280172,0.0338925,0.0259461,0.0196577
669,0.0287975,0.029141,0.0312939,0.0356475,0.0250306,0.0190652,0.0375854,0.0447322,0.0495359,0.0320309,0.0168679,0.0371742,0.038776,0.0204054,0.0272893,0.0343629,0.0509203,0.0196691,0.0310794,0.0122674,0.0282302,0.0187969,0.0214848,0.0240147,0.0393812,0.0332896,0.012793,0.0130769,0.0316916,0.0175397,0.0105231,0.0247119,0.0124244,0.0229379,0.0293983,0.0277884,0.0335036,0.0258883,0.0199166
